Case,25th Percentile ($/MWh),50th Percentile ($/MWh),75th Percentile ($/MWh),Maximum LMP ($/MWh),Standard Deviation ($/MWh),Skewness,Kurtosis,Bimodality Coefficient,Dip Test Statistic,Dip Test p-value
WinterNY_2030_10,21.5480030925,23.72600036,28.242722507499998,4257.425614,81.72771365141722,31.535825355584617,1215.074841849087,0.8172800608431512,0.03563532831254872,0.0
BaseCaseTax_2030_10,37.342000247499996,43.40000132,47.2800000325,1800.000025,82.48000355917897,15.415703576412712,277.5773598616151,0.8505458775202903,0.058925709405332066,0.0
HighWindTax_2030_10,36.58899998,43.4000026,48.710998625,1800.000003,89.50970240174364,15.12899956041197,263.4350974668109,0.8628241169599735,0.09132383742188464,0.0
HighSolarTax_2030_10,34.153745615000005,40.09999998,47.7310001525,1800.0,85.87509981064812,13.872710677018418,229.21842909209568,0.8330609344167922,0.06532550627186183,0.0
WinterNYTax_2030_10,44.03599916,46.22400126,51.96499927,1800.000005,44.47361882163016,22.442514551283264,734.2625827964481,0.6845138640704558,0.03551227446162491,0.0
BaseCaseCapRes_2030_10,17.74400002,19.98099997,23.24599975,111.6506992,8.713280478730136,-16.800263722808833,641.2076537359163,0.43968565029194806,0.05232864789060888,0.0
HighWindCapRes_2030_10,17.74400006,19.98099999,23.24599993,111.6506988,8.713280579299576,-16.800263179913603,641.2076066568425,0.4396856541081518,0.05232870820517079,0.0
HighSolarCapRes_2030_10,17.6840005675,19.61800056,22.21099469,123.8209637,8.821199767234633,-4.116510705968154,250.0569619419753,0.07091549765963476,0.058773988298358726,0.0
WinterNYCapRes_2030_10,19.02499998,20.52499997,23.6600547225,135.5121691,9.704724985169927,6.377681674423618,56.93429715389215,0.6953418246195695,0.030059282126090138,0.0
BaseCaseTaxCapRes_2030_10,37.34199985,40.10000002,45.54099967,209.1004493,23.245874475152196,2.2171264078969117,13.800246249707566,0.3521168333289659,0.060626954067121964,0.0
HighWindTaxCapRes_2030_10,36.58900079,40.10000003,46.5769979875,202.8804025,23.91117435451686,1.2748867343083532,8.244159548721973,0.23348443020037163,0.08772060777206245,0.0
HighSolarTaxCapRes_2030_10,33.0250592825,39.91199741,46.68399988,205.2991611,25.239165112457517,1.6090956622982677,9.191508808171285,0.2944007101091104,0.06411256838836218,0.0
WinterNYTaxCapRes_2030_10,37.717998875000006,43.68300016,47.433680135,223.2342364,21.034856881325254,1.7694456849176436,10.49590550327123,0.306088245125337,0.04531580801388978,0.0
ERCOT_0_10,28.012327974999998,30.365795605000002,34.8673739025,2746.388168,30.8041308196312,78.77210216225286,6907.651894382451,0.8980403258490256,0.009634710179427691,1.555726894797438e-05
