time,ERCOT_WEST_2022
2862,44.7793
2863,41.331
2864,27.5309
2865,1.2002
2866,-0.2454
2867,1.5896
2868,10.7685
2869,37.6958
2870,51.998
2871,57.7275
2872,58.7918
2873,64.0103
2874,68.9828
2875,107.3091
2876,75.4554
2877,62.7862
2878,61.7112
2879,67.4404
2880,102.211
2881,66.8847
2882,67.5086
2883,53.5652
2884,44.3202
2885,47.0111
2886,49.2724
2887,48.1694
2888,46.8047
2889,32.816
2890,7.1544
2891,0.4631
2892,-1.6051
2893,-0.4385
2894,3.1282
2895,10.4212
2896,10.8283
2897,12.3408
2898,10.7281
2899,22.5612
2900,66.6917
2901,63.1146
2902,82.1489
2903,36.257
2904,136.4612
2905,121.8381
2906,113.0001
2907,45.7408
2908,48.3147
2909,30.2884
2910,34.1538
2911,29.2762
2912,-0.8542
2913,-1.7461
2914,-2.4823
2915,-0.9318
2916,-0.6085
2917,10.4714
2918,25.5572
2919,28.1216
2920,25.2379
2921,31.2449
2922,46.2401
2923,219.8677
2924,417.8861
2925,98.4604
2926,62.5661
2927,47.1875
2928,65.77
2929,45.6347
2930,40.0706
2931,42.9412
2932,46.9197
2933,45.7045
2934,45.5713
2935,46.1519
2936,39.1365
2937,43.9162
2938,64.277
2939,67.8554
2940,72.6528
2941,80.9933
2942,83.3648
2943,91.0203
2944,107.6165
2945,111.0953
2946,98.9593
2947,86.4123
2948,92.4577
2949,219.4046
2950,69.3151
2951,70.4306
2952,75.1089
2953,56.8663
2954,53.0304
2955,57.4779
2956,59.6677
2957,71.2118
2958,86.749
2959,100.1046
2960,68.5272
2961,66.4538
2962,50.7711
2963,49.5425
2964,44.4866
2965,49.3975
2966,43.8091
2967,35.442
2968,55.2341
2969,39.7305
2970,21.2056
2971,47.2872
2972,67.2132
2973,55.658
2974,58.3014
2975,51.023
2976,49.3693
2977,29.4891
2978,18.3744
2979,26.5654
2980,45.089
2981,70.5752
2982,78.2374
2983,77.8696
2984,51.496
2985,44.9589
2986,45.0737
2987,45.0723
2988,41.4337
2989,31.4061
2990,27.0304
2991,24.9234
2992,23.1232
