 H2OPV.txt
psigma / MPa T / K   Author
12.868680300 603.2111 OSBORNE et al. (1933) 256
12.868477650 603.2121 OSBORNE et al. (1933) 257
12.868781630 603.2181 OSBORNE et al. (1933) 258
12.869085600 603.2191 OSBORNE et al. (1933) 259
12.869490900 603.2241 OSBORNE et al. (1933) 260
12.871314750 603.2291 OSBORNE et al. (1933) 261
14.607113330 613.1802 OSBORNE et al. (1933) 262
14.610761030 613.2012 OSBORNE et al. (1933) 263
14.611875600 613.2072 OSBORNE et al. (1933) 264
14.612179580 613.2092 OSBORNE et al. (1933) 265
14.611470300 613.2112 OSBORNE et al. (1933) 266
14.612686200 613.2122 OSBORNE et al. (1933) 267
14.612382230 613.2142 OSBORNE et al. (1933) 268
14.613294150 613.2142 OSBORNE et al. (1933) 269
14.614003430 613.2212 OSBORNE et al. (1933) 270
14.615421980 613.2262 OSBORNE et al. (1933) 271
14.614206080 613.2272 OSBORNE et al. (1933) 272
16.534517480 623.1749 OSBORNE et al. (1933) 273
16.535936030 623.1809 OSBORNE et al. (1933) 274
16.537151930 623.1819 OSBORNE et al. (1933) 275
16.537050600 623.1839 OSBORNE et al. (1933) 276
16.536037350 623.1849 OSBORNE et al. (1933) 277
16.537759880 623.1869 OSBORNE et al. (1933) 278
16.537658550 623.1919 OSBORNE et al. (1933) 279
16.538063850 623.1949 OSBORNE et al. (1933) 280
16.538773130 623.2039 OSBORNE et al. (1933) 281
16.540900950 623.2059 OSBORNE et al. (1933) 282
16.541711550 623.2109 OSBORNE et al. (1933) 283
16.541711550 623.2119 OSBORNE et al. (1933) 284
16.542522150 623.2129 OSBORNE et al. (1933) 285
16.544548650 623.2289 OSBORNE et al. (1933) 286
16.548804300 623.2429 OSBORNE et al. (1933) 287
16.549614900 623.2459 OSBORNE et al. (1933) 288
16.554681150 623.2749 OSBORNE et al. (1933) 289
16.558632830 623.2959 OSBORNE et al. (1933) 290
17.569957650 628.1516 OSBORNE et al. (1933) 291
17.574719930 628.1736 OSBORNE et al. (1933) 292
17.577354380 628.1916 OSBORNE et al. (1933) 293
17.580596780 628.1986 OSBORNE et al. (1933) 294
17.582015330 628.2076 OSBORNE et al. (1933) 295
17.585156400 628.2226 OSBORNE et al. (1933) 296
18.664875600 633.1441 OSBORNE et al. (1933) 297
18.668219330 633.1611 OSBORNE et al. (1933) 298
18.673285580 633.1811 OSBORNE et al. (1933) 299
18.672677630 633.1811 OSBORNE et al. (1933) 300
18.675008100 633.1891 OSBORNE et al. (1933) 301
18.675312080 633.1931 OSBORNE et al. (1933) 302
18.680783630 633.2141 OSBORNE et al. (1933) 303
19.120838100 635.1499 OSBORNE et al. (1933) 304
19.122965930 635.1579 OSBORNE et al. (1933) 305
19.124181830 635.1659 OSBORNE et al. (1933) 306
19.126613630 635.1749 OSBORNE et al. (1933) 307
19.127120250 635.1769 OSBORNE et al. (1933) 308
19.127120250 635.1779 OSBORNE et al. (1933) 309
19.130463980 635.1919 OSBORNE et al. (1933) 310
19.584298650 637.1427 OSBORNE et al. (1933) 311
19.587541050 637.1567 OSBORNE et al. (1933) 312
19.588452980 637.1627 OSBORNE et al. (1933) 313
19.589972850 637.1657 OSBORNE et al. (1933) 314
19.592911280 637.1807 OSBORNE et al. (1933) 315
19.596356330 637.1937 OSBORNE et al. (1933) 316
20.053940030 639.1225 OSBORNE et al. (1933) 317
20.057182430 639.1355 OSBORNE et al. (1933) 318
20.066200350 639.1765 OSBORNE et al. (1933) 319
20.070253350 639.1885 OSBORNE et al. (1933) 320
20.073495750 639.2035 OSBORNE et al. (1933) 321
20.074407680 639.2065 OSBORNE et al. (1933) 322
20.076434180 639.2165 OSBORNE et al. (1933) 323
20.076839480 639.2185 OSBORNE et al. (1933) 324
20.551851080 641.1722 OSBORNE et al. (1933) 325
20.556410700 641.1932 OSBORNE et al. (1933) 326
20.558741180 641.2022 OSBORNE et al. (1933) 327
20.562692850 641.2142 OSBORNE et al. (1933) 328
20.563604780 641.2242 OSBORNE et al. (1933) 329
20.566137900 641.2312 OSBORNE et al. (1933) 330
21.041858780 643.1429 OSBORNE et al. (1933) 331
21.047532980 643.1669 OSBORNE et al. (1933) 332
21.047836950 643.1699 OSBORNE et al. (1933) 333
21.051889950 643.1849 OSBORNE et al. (1933) 334
21.054828380 643.1899 OSBORNE et al. (1933) 335
21.054119100 643.1929 OSBORNE et al. (1933) 336
21.054524400 643.1939 OSBORNE et al. (1933) 337
21.054220430 643.1939 OSBORNE et al. (1933) 338
21.055740300 643.1959 OSBORNE et al. (1933) 339
21.056348250 643.1969 OSBORNE et al. (1933) 340
21.055436330 643.1979 OSBORNE et al. (1933) 341
21.056550900 643.1999 OSBORNE et al. (1933) 342
21.058273430 643.2009 OSBORNE et al. (1933) 343
21.056145600 643.2009 OSBORNE et al. (1933) 344
21.057361500 643.2039 OSBORNE et al. (1933) 345
21.061617150 643.2179 OSBORNE et al. (1933) 346
21.061110530 643.2189 OSBORNE et al. (1933) 347
21.062427750 643.2249 OSBORNE et al. (1933) 348
21.067899300 643.2399 OSBORNE et al. (1933) 349
21.276932780 644.0758 OSBORNE et al. (1933) 350
21.280479150 644.0838 OSBORNE et al. (1933) 351
21.283012280 644.0978 OSBORNE et al. (1933) 352
21.293144780 644.1358 OSBORNE et al. (1933) 353
21.293347430 644.1368 OSBORNE et al. (1933) 354
21.296691150 644.1498 OSBORNE et al. (1933) 355
21.308343530 644.1947 OSBORNE et al. (1933) 356
21.310167380 644.1987 OSBORNE et al. (1933) 357
21.314727000 644.2217 OSBORNE et al. (1933) 358
21.317665430 644.2297 OSBORNE et al. (1933) 359
21.326886000 644.2657 OSBORNE et al. (1933) 360
21.330027080 644.2747 OSBORNE et al. (1933) 361
21.559933500 645.1766 OSBORNE et al. (1933) 362
21.562567950 645.1876 OSBORNE et al. (1933) 363
