H2O Saturated Vapor Density
D / (mol/dm^3) T / K Author
0.141361 423.170400000 OSBORNE et al. (1937) 173
0.141365 423.170400000 OSBORNE et al. (1937) 174
0.141372 423.170400000 OSBORNE et al. (1937) 175
0.141352 423.170400000 OSBORNE et al. (1937) 176
0.0331628 373.150000000 OSBORNE et al. (1937) 177
0.0331693 373.150000000 OSBORNE et al. (1937) 178
0.0331622 373.150000000 OSBORNE et al. (1937) 179
0.0331675 373.150000000 OSBORNE et al. (1937) 180
0.0331709 373.150000000 OSBORNE et al. (1937) 181
0.0331694 373.150000000 OSBORNE et al. (1937) 182
0.0331607 373.150000000 OSBORNE et al. (1937) 183
0.0331609 373.150000000 OSBORNE et al. (1937) 184
0.0331593 373.150000000 OSBORNE et al. (1937) 185
0.0331619 373.150000000 OSBORNE et al. (1937) 186
0.0331478 373.150000000 OSBORNE et al. (1937) 187
0.0331709 373.150000000 OSBORNE et al. (1937) 188
0.033168 373.150000000 OSBORNE et al. (1937) 189
0.000269292 273.160000000 OSBORNE et al. (1939) 001
0.000269323 273.160000000 OSBORNE et al. (1939) 002
0.000269327 273.160000000 OSBORNE et al. (1939) 003
0.00026933 273.160000000 OSBORNE et al. (1939) 004
0.000269349 273.160000000 OSBORNE et al. (1939) 005
0.000288293 274.149500000 OSBORNE et al. (1939) 006
0.000288298 274.149500000 OSBORNE et al. (1939) 007
0.000288302 274.149500000 OSBORNE et al. (1939) 008
0.000288308 274.149500000 OSBORNE et al. (1939) 009
0.000288319 274.149500000 OSBORNE et al. (1939) 010
0.000288341 274.149500000 OSBORNE et al. (1939) 011
0.000288344 274.149500000 OSBORNE et al. (1939) 012
0.000288349 274.149500000 OSBORNE et al. (1939) 013
0.000288367 274.149500000 OSBORNE et al. (1939) 014
0.000288379 274.149500000 OSBORNE et al. (1939) 015
0.00028838 274.149500000 OSBORNE et al. (1939) 016
0.000288407 274.149500000 OSBORNE et al. (1939) 017
0.000288428 274.149500000 OSBORNE et al. (1939) 018
0.000377365 278.147700000 OSBORNE et al. (1939) 019
0.000377365 278.147700000 OSBORNE et al. (1939) 020
0.000377368 278.147700000 OSBORNE et al. (1939) 021
