H2O CP.txt
Density mol/dm3  T / K   CP
34.395454   623.206000    149.658236
34.028695   624.626000    154.488129
23.899976   628.675000    174.780527
18.434675   633.075000    217.779369
17.941359   634.185000    235.884713
17.343384   635.565000    268.850852
17.157073   635.995000    283.108135
17.061330   636.215000    291.782487
16.828775   636.745000    316.450793
16.722283   636.985000    331.462916
16.303428   637.885000    582.966866
15.940028   638.644000    486.559961
15.656148   639.204000    440.394035
15.138523   640.134000    383.064048
14.606362   640.944000    346.026459
13.546240   642.024000    308.459220
5.769839   652.112000    174.940863
17.719739   644.384000    399.740782
17.355827   645.364000    515.912237
17.107583   646.033000    709.032307
16.924991   646.523000    1061.401942
16.891336   646.613000    1210.766529
16.865130   646.683000    1312.606839
16.517440   647.603000    1897.250927
15.957914   649.033000    792.850143
14.922500   651.412000    460.172998
13.864237   653.332000    361.953757
12.534003   654.852000    310.884075
6.935576   665.190000    180.453535
6.590953   669.099000    163.254359
17.986082   649.473000    481.746282
17.889529   649.753000    523.462436
17.629339   650.513000    685.430505
17.377985   651.252000    992.010732
17.218433   651.722000    1416.729683
17.147128   651.932000    1749.412233
17.082573   652.122000    2132.640220
16.994140   652.382000    2659.956122
16.949867   652.512000    2785.936891
16.922601   652.592000    2770.850905
16.902139   652.652000    2782.921135
16.878252   652.722000    2748.974965
16.813334   652.912000    2580.748393
16.741422   653.122000    2251.083401
16.658996   653.362000    1912.367538
16.520942   653.762000    1482.368312
16.287318   654.432000    1068.211713
15.956424   655.362000    774.004371
15.682103   656.112000    639.873495
41.806485   577.704000    92.924554
40.930897   586.845000    95.943913
38.975280   604.956000    103.942692
38.819329   606.266000    104.546203
36.419614   623.986000    117.448738
24.460629   642.384000    145.667854
28.500545   652.572000    182.561321
22.021724   659.940000    241.256866
19.947112   665.560000    338.427619
18.904194   669.199000    442.390127
18.401282   671.098000    492.863503
17.978524   672.748000    515.647413
17.809635   673.418000    517.533611
17.629537   674.138000    514.290863
17.465748   674.797000    506.598344
17.127642   676.167000    481.627381
16.586090   678.376000    429.121882
15.614029   682.325000    342.290092
14.117343   688.193000    257.863340
11.397269   698.580000    182.582940
8.964259   713.195000    134.903731
7.305570   737.119000    99.973928
6.280057   767.601000    79.753591
6.132775   773.710000    76.963026
5.720777   794.049000    70.021744
42.565709   576.864000    89.153958
39.724430   607.136000    97.531058
23.165635   634.695000    110.738051
32.989676   655.062000    129.754968
28.890316   670.638000    156.165351
25.683601   679.246000    179.556375
23.193327   686.753000    205.662299
21.736229   692.372000    226.412285
20.900476   696.111000    237.279095
20.140535   699.840000    244.146515
19.809371   701.559000    245.958851
19.407215   703.719000    245.733660
19.050501   705.698000    244.074454
18.572571   708.436000    239.096835
17.886183   712.525000    228.233629
16.793024   719.363000    205.752376
15.654052   726.851000    180.857077
14.432031   735.319000    158.298358
12.350212   751.655000    127.892189
10.588938   770.271000    105.787455
9.167175   793.368000    89.186386
7.781663   831.286000    73.794141
41.309262   599.086000    91.119424
29.831105   627.976000    98.968676
34.695885   657.662000    112.932311
29.494578   686.273000    137.234907
24.849911   706.798000    162.665259
23.059425   716.004000    172.326848
21.675733   724.242000    177.007214
20.354599   733.160000    175.124619
18.980813   743.537000    165.920618
17.640631   754.704000    151.962389
15.542163   774.321000    127.593136
14.994246   779.959000    121.556219
12.077777   816.691000    93.940615
10.173467   854.189000    78.395240
9.532698   871.914000    73.489683
28.433281   633.055000    91.126630
36.897848   661.670000    97.619333
33.101667   693.922000    107.662845
28.625776   726.991000    119.967273
25.075964   754.504000    127.063487
24.800760   756.853000    127.591334
23.784029   765.922000    127.366143
23.352899   769.971000    127.441807
22.736531   775.990000    126.613105
21.262671   791.579000    122.159731
20.181669   804.180000    116.803792
17.198882   844.912000    97.938203
56.090316   277.758898    74.467912
56.344135   273.219983    74.076980
56.344222   273.259974    74.015729
56.346067   276.269257    73.880614
56.344528   277.358994    73.887820
56.344207   277.518956    73.857194
56.344016   277.608934    73.759912
56.591787   277.468968    73.329347
56.591787   277.468968    73.322141
56.833438   277.478965    73.314935
56.591798   271.560374    72.815912
56.840448   272.900059    72.853744
56.840511   273.000035    72.801500
56.840621   273.239979    72.815912
56.840640   273.299965    72.742049
56.840652   273.349953    72.824919
56.837041   276.329242    72.794293
56.834150   277.279014    72.891576
56.832730   277.668919    72.763667
56.827718   278.828638    72.891576
56.820145   280.228296    72.898782
56.775871   285.676944    72.914996
56.775769   285.686942    72.922202
56.552926   300.673083    73.140187
56.455315   305.511805    73.284309
56.455315   305.511805    73.253683
57.315563   272.250212    71.859301
57.315259   272.710104    71.873713
57.314687   273.219983    71.942171
57.314589   273.289967    71.859301
57.314486   273.359950    71.821469
57.306011   276.329242    72.001622
57.301611   277.289011    71.904339
57.200056   288.326276    72.259240
56.893373   305.631773    72.628553
56.892937   305.651767    72.657377
57.771138   272.210221    71.118873
57.769888   272.750094    71.127881
57.768585   273.219983    71.142293
57.754947   276.359235    71.248583
57.749521   277.259018    71.217957
57.634619   288.326276    71.662935
57.314981   305.661765    72.122324
57.988606   273.209986    70.780186
57.972618   276.359235    71.021591
57.966571   277.259018    70.953133
57.966571   277.259018    70.931515
57.966571   277.259018    70.976553
57.954364   278.848633    71.156706
57.845638   288.306281    71.405316
57.519558   305.671762    71.925957
50.532581   453.045332    76.784675
50.364670   456.346569    77.085530
50.661898   456.346569    76.482019
51.226173   456.346569    75.426324
51.760066   456.246577    74.595820
52.013112   456.246577    74.294965
15.150814   879.695089    85.759882
13.326445   918.778000    76.557683
8.300696   918.839097    64.716247
7.531297   961.264000    59.888155
7.525032   961.666000    59.888155
11.856125   960.158000    68.335515
11.846842   960.460000    68.411179
34.635940   704.868496    97.224798
32.669107   723.962605    100.770203
30.873823   741.157401    103.785959
28.548287   764.051343    106.954845
27.192169   778.249726    107.934875
26.421521   786.749077    108.311394
26.332996   787.748996    108.311394
25.709062   794.948463    108.161868
25.430973   798.248219    107.859211
25.289627   799.948181    107.331364
24.562696   808.948142    106.652188
24.390355   811.148237    106.124341
22.809204   832.653339    102.881592
22.561502   836.255018    102.051089
21.325860   855.267878    97.601317
21.067800   859.471731    96.922142
22.398889   838.656212    99.035333
21.488223   852.665716    96.997806
20.090265   876.190548    92.472371
20.084637   876.290615    92.623699
20.073377   876.490949    92.623699
19.496381   887.005393    90.285317
19.485648   887.205723    90.209653
18.666944   903.030689    86.891241
17.217306   934.038000    80.782263
15.851206   967.696000    74.521958
50.047708   497.461880    75.501988
48.907235   519.569621    76.557683
48.253853   531.673503    77.009866
48.253853   531.673503    76.934202
46.299800   565.582108    79.047393
44.934549   587.385446    80.328278
42.794941   618.786394    82.893653
28.519612   643.883686    85.232034
39.113692   666.279282    87.795607
36.841940   692.472269    91.416676
34.511349   717.764503    94.810752
32.049228   743.756569    98.204829
29.460918   771.749813    101.298050
29.035101   776.549777    101.222386
29.017504   776.749801    101.071058
27.610798   793.248506    102.202417
27.422142   795.548336    101.977226
26.585100   806.048011    101.825898
25.662668   818.249172    101.447577
25.655331   818.349136    101.523241
25.228458   824.250446    100.770203
56.344022   277.607000    73.853591
56.834156   277.277000    72.826721
56.775920   285.672000    72.933011
56.775818   285.682000    72.940217
56.455522   305.502000    73.304125
56.455522   305.502000    73.273500
57.301620   277.287000    71.891728
57.200137   288.320000    72.277255
56.893585   305.622000    72.648370
56.893149   305.642000    72.677194
57.749533   277.257000    71.203545
57.634706   288.320000    71.680950
57.315197   305.652000    72.142141
57.966585   277.257000    70.947728
57.966585   277.257000    70.924309
57.966585   277.257000    70.931515
57.845729   288.300000    71.423332
57.519778   305.662000    71.945774
41.806464   577.704191    92.924554
41.494596   581.034688    93.755058
40.930848   586.845452    95.942111
40.054908   595.346215    99.336188
38.975201   604.956621    103.937287
38.966927   605.026618    103.861623
38.819255   606.266568    104.540799
37.742987   614.776545    109.594081
36.419603   623.986017    117.437929
22.965156   633.015215    128.149807
24.460601   642.383974    145.648037
31.021184   647.903056    162.090572
28.500318   652.572186    182.532497
24.336911   656.361500    206.970208
22.021315   659.940711    241.213629
20.504594   663.819833    300.273082
19.947205   665.559516    338.362764
19.440940   667.269096    383.768445
18.904244   669.198626    442.300051
18.644853   670.168336    470.811014
18.401193   671.098151    492.760816
18.248788   671.688033    502.791718
17.978545   672.747718    515.539321
17.877572   673.147636    516.971535
17.809690   673.417581    517.425520
17.677019   673.947471    515.236665
17.629653   674.137332    514.180970
17.577371   674.347288    511.842588
17.465649   674.797194    506.488451
17.376547   675.157118    501.433366
17.127640   676.166804    481.521091
16.879789   677.176587    457.762555
16.585983   678.376226    429.024600
16.107949   680.325693    383.015407
15.613914   682.325239    342.209023
14.851802   685.354330    292.730090
14.117137   688.193543    257.807493
12.641297   693.721946    209.836437
11.397088   698.580454    182.532497
10.143735   704.638562    158.168648
8.964115   713.195924    134.862296
8.103470   723.052803    116.760555
7.305567   737.118531    99.939699
6.722670   752.184291    88.098264
6.280050   767.600595    79.724767
42.659538   571.963268    89.681806
41.878742   580.854589    91.793195
40.502663   595.286216    96.093440
39.023381   609.096643    101.373715
37.336841   622.766111    108.841043
29.313249   629.895514    114.497837
23.787518   638.994476    123.321716
33.037370   648.143023    135.692800
30.352215   657.751175    155.905931
25.931318   666.829179    188.565810
23.626941   671.308109    212.702666
21.956966   675.816979    244.456378
21.109765   678.666162    268.065386
20.624262   680.475659    283.527891
20.130049   682.445111    298.462548
19.703013   684.244692    311.058823
19.483158   685.204365    316.261633
19.294648   686.044165    319.354854
19.035303   687.223780    322.824595
18.866986   688.003590    323.804626
18.762404   688.493469    324.031618
18.664984   688.953356    324.332473
18.639687   689.073326    323.728961
18.436874   690.042985    322.597603
18.267542   690.862779    320.713206
18.108110   691.642581    317.846976
17.855610   692.892161    312.114518
17.463998   694.861549    300.498273
17.065026   696.901008    286.469784
16.657791   699.010337    271.308135
14.4  701.139650    255.544775
15.726524   703.908870    237.367370
14.991644   707.827636    214.134880
14.284322   711.646396    195.505291
13.067476   718.434291    169.030054
11.584847   727.721358    143.385320
10.333577   737.788296    124.377410
9.715642   744.236496    114.950021
8.799956   756.873047    101.447577
8.082439   770.749994    90.737500
42.565710   576.863989    89.153958
40.991142   594.436135    93.603729
39.724364   607.136631    97.525653
38.184386   620.926246    103.182447
23.166130   634.695044    110.725440
24.490474   645.893426    119.626784
32.989736   655.061705    129.733349
30.825899   664.279750    143.536648
28.890233   670.638243    156.132923
27.138940   675.437059    168.350878
25.683588   679.246034    179.514940
24.388000   682.895007    191.732894
23.193042   686.753994    205.611857
22.421042   689.593097    216.397598
21.736160   692.372295    226.354636
21.296401   694.291798    232.387950
20.900430   696.111218    237.216041
20.507579   698.000612    241.590148
20.140514   699.840110    244.079858
19.962023   700.759756    245.059889
19.809270   701.559533    245.890393
19.576711   702.799185    245.890393
19.407229   703.718925    245.663401
19.214951   704.778522    244.759034
19.050455   705.698257    244.004194
18.882772   706.647981    242.193660
18.572321   708.437456    239.026576
18.194512   710.666691    233.445446
17.885997   712.526129    228.165171
16.792869   719.363995    205.687521
16.220469   723.082793    192.790391
15.653956   726.851649    180.797627
15.100936   730.620478    170.085748
14.432023   735.319060    158.244313
13.523449   742.037087    143.913167
12.350282   751.654387    127.847151
11.559782   759.152492    117.364066
10.589009   770.270077    105.747822
41.452130   593.496054    91.568004
40.191020   606.856643    94.962081
38.761769   620.556273    99.411852
28.216024   633.725144    105.068646
35.354698   647.443118    112.912494
33.107026   661.110510    123.849563
31.255232   670.268316    133.957930
28.949360   679.615952    147.082053
26.601475   687.893617    161.789717
25.100286   693.272063    172.575458
23.796594   698.430495    183.209871
22.771563   702.989132    191.659032
21.859981   707.497733    198.823704
21.186385   711.126553    202.369108
20.686558   713.985682    203.725658
20.298084   716.304962    203.424803
20.002693   718.124389    202.745628
19.695944   720.063771    201.462941
19.387637   722.063126    199.427215
18.960684   724.912293    196.033139
18.678974   726.841652    192.714726
17.752473   733.449608    180.797627
17.147851   737.968332    171.671092
16.488512   743.076814    161.865381
15.348223   752.384217    144.893197
14.291502   761.671943    130.637716
13.283173   771.409842    119.023273
43.173035   576.923989    86.664248
41.309228   599.086419    91.115821
39.986692   613.196535    94.282905
29.831188   627.975686    98.959669
25.410584   643.053891    104.917318
34.696014   657.661190    112.912494
32.303774   672.297810    123.548708
29.494353   686.274110    137.200678
26.950373   697.360784    150.625656
24.849951   706.797937    162.618420
23.476665   713.725762    170.085748
23.059261   716.005055    172.274603
22.264462   720.603597    175.593016
21.675678   724.242513    176.949565
20.980960   728.801095    176.800039
20.354665   733.159708    175.065168
19.694470   738.008318    171.444099
18.980881   743.536649    165.862969
18.298600   749.095129    158.999152
17.640695   754.703656    151.908343
16.511438   764.911217    138.632892
15.542294   774.319930    127.546296
7.334717   736.488752    100.242356
6.882195   747.545595    90.888829
6.410351   762.631680    81.913622
6.132762   773.709863    76.934202
5.720772   794.048503    69.994721
5.280175   822.480069    63.433560
5.218578   827.131341    62.603056
5.000877   845.140163    59.736827
4.849894   859.221511    58.001957
10.329494   773.749948    102.505073
9.167148   793.368560    89.153958
8.376049   812.348400    80.178752
7.781751   831.282808    73.767118
7.214753   854.667371    67.883331
6.872148   872.115476    64.791911
13.510299   769.120316    121.889502
11.811945   788.259001    103.861623
11.452309   793.118555    99.939699
10.276426   812.298418    88.701775
15.966519   770.120135    132.296922
14.994206   779.959672    121.511181
13.706136   794.438455    108.462723
12.077930   816.688931    93.906386
10.823821   839.316591    83.421500
10.173562   854.187025    78.368217
9.532672   871.915241    73.464461
40.241387   578.584291    104.012951
38.935161   589.195624    112.083791
38.214282   594.386136    117.891914
37.813634   597.066274    121.738174
37.692724   597.846353    122.566876
37.648815   598.126346    123.096525
40.457817   578.804291    101.523241
40.323966   580.004490    102.730264
39.280747   588.805629    108.237532
37.951506   598.606333    117.891914
37.137720   603.826564    125.887090
36.824705   605.676592    128.677655
36.220978   608.996648    135.465808
35.812626   611.056648    141.046938
35.615670   611.996599    143.913167
35.570641   612.206588    144.592342
38.684594   595.736206    110.649776
37.242582   605.736590    121.738174
36.347548   611.026649    130.412525
21.532760   616.326452    143.158327
34.007930   621.536202    162.996740
33.613447   622.836106    170.764924
33.177231   624.116007    179.590604
33.062234   624.425983    182.456833
41.033583   577.584090    97.903974
40.030192   586.925451    102.278081
38.871685   596.616285    108.086203
37.569079   606.126574    116.985746
36.090346   615.156523    130.034204
35.702212   617.216397    133.354418
34.395435   623.206078    149.645625
34.378023   623.276072    150.097808
34.028703   624.625967    154.473717
33.875361   625.185922    156.509442
23.900785   628.675625    174.762512
19.068861   631.735341    199.728070
18.434580   633.075209    217.755949
18.254570   633.475169    223.185751
17.941317   634.185097    235.857690
17.460076   635.294982    259.843218
17.343404   635.564953    268.820226
17.321825   635.614848    273.118669
17.157157   635.994808    283.075708
17.126735   636.064800    287.901998
17.061424   636.214784    291.748258
16.978415   636.404764    301.177449
16.828896   636.744727    317.468656
16.802356   636.804720    319.882702
16.722416   636.984701    331.423282
16.659877   637.124685    343.113390
29.978780   627.425734    158.092984
22.691085   630.465461    172.575458
25.192915   632.535263    187.661444
19.024611   635.514959    220.470850
18.749427   636.124794    229.748713
