,T [C],P [bar],b [mol/kg],gamma[-],phi [-],Sx/R [-],Hx/RT [-],Cp_x/R [-],rho [g/cm^3],s [J/g.K],h [J/g]
1865,80,800.0,6,1.005,1.259,1.608,1.101,8.86,1.18814,3.838,-1175.1
1866,90,800.0,6,0.977,1.247,1.857,1.316,9.01,1.18224,3.928,-1143.0
1867,100,800.0,6,0.946,1.234,2.105,1.526,9.27,1.17623,4.015,-1110.9
1868,110,800.0,6,0.914,1.221,2.355,1.732,9.64,1.1701,4.113,-1079.0
1869,110,800.0,6,0.914,1.221,2.355,3.073,9.64,1.1701,4.113,-1079.0
1870,120,800.0,6,0.88,1.207,2.609,1.94,10.13,1.16384,4.182,-1047.1
1871,130,800.0,6,0.845,1.192,2.871,2.15,10.73,1.15745,4.262,-1015.2
1872,140,800.0,6,0.81,1.177,3.142,2.366,11.45,1.15092,4.34,-983.4
1873,150,800.0,6,0.775,1.162,3.426,2.591,12.29,1.14426,4.416,-951.7
1874,160,800.0,6,0.739,1.147,3.724,2.825,13.26,1.13744,4.49,-919.9
1875,180,800.0,6,0.667,1.114,4.373,3.336,15.62,1.12338,4.633,-856.5
1876,190,800.0,6,0.631,1.097,4.729,3.616,17.02,1.11612,4.702,-824.8
1877,200,800.0,6,0.596,1.079,5.109,3.916,18.61,1.10872,4.77,-793.1
1878,210,800.0,6,0.56,1.06,5.517,4.238,20.38,1.10117,4.836,-761.4
1879,220,800.0,6,0.525,1.041,5.954,4.585,22.38,1.09348,4.901,-729.6
1880,230,800.0,6,0.491,1.02,6.426,4.961,24.65,1.08565,4.965,-697.9
1881,240,800.0,6,0.456,0.999,6.935,5.369,27.22,1.07768,5.028,-666.0
1882,250,800.0,6,0.423,0.976,7.489,5.814,30.2,1.06959,5.089,-634.1
1883,260,800.0,6,0.39,0.952,8.092,6.303,33.67,1.06138,5.15,-602.1
1884,270,800.0,6,0.357,0.926,8.755,6.844,37.79,1.05307,5.21,-569.9
1885,280,800.0,6,0.325,0.898,9.489,7.447,42.81,1.04467,5.269,-537.5
1886,290,800.0,6,0.295,0.868,10.31,8.129,49.09,1.0362,5.327,-504.9
1887,300,800.0,6,0.265,0.835,11.242,8.911,57.21,1.02769,5.386,-471.7
1888,0,1000.0,6,1.044,1.286,-0.834,-1.32,11.42,1.23841,3.002,-1419.2
1889,10,1000.0,6,1.072,1.293,-0.442,-0.888,10.45,1.23303,3.117,-1387.1
1890,20,1000.0,6,1.09,1.297,-0.091,-0.513,9.79,1.22764,3.229,-1354.9
1891,25,1000.0,6,1.094,1.297,0.072,-0.343,9.52,1.22492,3.284,-1338.7
1892,30,1000.0,6,1.097,1.297,0.228,-0.182,9.29,1.2222,3.337,-1322.5
1893,40,1000.0,6,1.095,1.295,0.523,0.114,8.91,1.2167,3.442,-1290.2
1894,50,1000.0,6,1.085,1.29,0.799,0.382,8.64,1.21115,3.544,-1257.9
1895,60,1000.0,6,1.069,1.283,1.059,0.627,8.45,1.20553,3.642,-1225.6
1896,70,1000.0,6,1.048,1.274,1.317,0.862,8.34,1.19974,3.738,-1193.3
1897,80,1000.0,6,1.022,1.263,1.556,1.073,8.35,1.19399,3.83,-1161.2
1898,90,1000.0,6,0.993,1.251,1.791,1.275,8.48,1.18816,3.92,-1129.1
1899,100,1000.0,6,0.963,1.239,2.024,1.471,8.7,1.18225,4.006,-1097.2
1900,110,1000.0,6,0.931,1.226,2.259,1.664,9.04,1.17624,4.091,-1065.3
1901,120,1000.0,6,0.897,1.212,2.497,1.857,9.47,1.17013,4.173,-1033.5
1902,130,1000.0,6,0.864,1.198,2.741,2.052,10.02,1.16392,4.252,-1001.8
1903,140,1000.0,6,0.829,1.184,2.995,2.253,10.68,1.15758,4.33,-970.1
1904,150,1000.0,6,0.794,1.169,3.259,2.461,11.45,1.15113,4.406,-938.5
1905,160,1000.0,6,0.759,1.154,3.537,2.679,12.35,1.14455,4.479,-906.9
1906,170,1000.0,6,0.724,1.139,3.83,2.908,13.37,1.13783,4.551,-875.3
1907,180,1000.0,6,0.689,1.123,4.141,3.151,14.3,1.13098,4.622,-843.8
1908,190,1000.0,6,0.655,1.107,4.472,3.411,15.84,1.124,4.691,-812.3
1909,200,1000.0,6,0.62,1.09,4.826,3.689,17.31,1.11688,4.758,-780.7
1910,210,1000.0,6,0.585,1.073,5.205,3.988,18.97,1.10961,4.824,-749.2
1911,220,1000.0,6,0.551,1.055,5.612,4.31,20.85,1.10221,4.889,-717.1
1912,230,1000.0,6,0.517,1.036,6.052,4.66,22.99,1.09467,4.952,-686.1
1913,240,1000.0,6,0.483,1.016,6.528,5.04,25.45,1.08699,5.014,-654.4
1914,250,1000.0,6,0.449,0.994,7.046,5.457,28.31,1.07917,5.075,-622.1
1915,260,1000.0,6,0.416,0.972,7.613,5.916,31.69,1.07123,5.136,-590.9
1916,270,1000.0,6,0.384,0.947,8.238,6.427,35.78,1.06317,5.195,-559.0
1917,280,1000.0,6,0.352,0.921,8.935,7.002,40.86,1.05499,5.254,-526.9
1918,290,1000.0,6,0.32,0.892,9.723,7.658,47.37,1.04671,5.312,-494.4
1919,300,1000.0,6,0.289,0.861,10.629,8.423,56.04,1.03834,5.37,-461.5
