Temperature (K),Pressure (MPa),Enthalpy (kJ/mol),Entropy (J/mol*K)
312,25.5,11.882,50.899
312,26,11.869,50.78
312,26.5,11.857,50.663
312,27,11.846,50.549
312,27.5,11.836,50.437
312,28,11.826,50.326
312,28.5,11.816,50.218
312,29,11.807,50.112
312,29.5,11.799,50.008
312,30,11.791,49.905
312,30.5,11.784,49.805
312,31,11.777,49.705
312,31.5,11.77,49.608
312,32,11.764,49.512
312,32.5,11.758,49.417
312,33,11.753,49.324
312,33.5,11.748,49.232
312,34,11.743,49.141
312,34.5,11.739,49.052
312,35,11.735,48.964
312,35.5,11.731,48.877
312,36,11.728,48.791
314,8,17.907,73.521
314,8.5,16.969,70.296
314,9,15.603,65.764
314,9.5,14.523,62.187
314,10,13.997,60.39
314,10.5,13.683,59.279
314,11,13.463,58.472
314,11.5,13.295,57.834
314,12,13.159,57.303
314,12.5,13.046,56.845
314,13,12.95,56.441
314,13.5,12.865,56.078
314,14,12.791,55.747
314,14.5,12.724,55.443
314,15,12.665,55.161
314,15.5,12.61,54.898
314,16,12.56,54.651
314,16.5,12.515,54.417
314,17,12.473,54.195
314,17.5,12.434,53.985
314,18,12.398,53.783
314,18.5,12.364,53.591
314,19,12.333,53.406
314,19.5,12.304,53.228
314,20,12.276,53.056
314,20.5,12.25,52.89
314,21,12.226,52.73
314,21.5,12.204,52.575
314,22,12.182,52.424
314,22.5,12.162,52.278
314,23,12.143,52.136
314,23.5,12.125,51.997
314,24,12.108,51.862
314,24.5,12.092,51.731
314,25,12.077,51.602
314,25.5,12.062,51.476
314,26,12.049,51.353
314,26.5,12.036,51.233
314,27,12.024,51.116
314,27.5,12.012,51
314,28,12.001,50.887
314,28.5,11.991,50.776
314,29,11.981,50.667
314,29.5,11.972,50.56
314,30,11.963,50.455
314,30.5,11.955,50.352
314,31,11.947,50.25
314,31.5,11.94,50.151
314,32,11.933,50.052
314,32.5,11.927,49.955
314,33,11.921,49.86
314,33.5,11.915,49.766
314,34,11.91,49.674
314,34.5,11.905,49.582
314,35,11.9,49.493
314,35.5,11.896,49.404
314,36,11.892,49.316
316,8,18.263,74.651
316,8.5,17.521,72.052
316,9,16.518,68.671
316,9.5,15.363,64.852
316,10,14.587,62.262
316,10.5,14.144,60.744
316,11,13.855,59.717
316,11.5,13.644,58.941
316,12,13.478,58.315
316,12.5,13.344,57.789
316,13,13.231,57.332
316,13.5,13.133,56.928
316,14,13.048,56.563
316,14.5,12.973,56.231
316,15,12.905,55.925
